bar_index,time,equity_multi_indicator_vote_oos,equity_buy_and_hold_oos,equity_tree_confidence_range_4_oos
1,2024-05-28 14:00,1.0,1.0,1.0
2,2024-05-28 15:00,1.0000198351423657,1.002483514236543,1.0
3,2024-05-28 16:00,1.0000275881370662,1.003258813706613,1.0
4,2024-05-28 17:00,1.000027801131426,1.003280113142604,1.0
5,2024-05-28 18:00,1.0000500803414725,1.0055080341472558,1.0
6,2024-05-28 19:00,1.0000344465554551,1.0039446555455211,1.0
7,2024-05-28 20:00,1.0000352133351509,1.0040213335150887,1.0
8,2024-05-28 21:00,1.0000362357080783,1.004123570807845,1.0
9,2024-05-28 22:00,1.0000408789851245,1.0045878985124477,1.0
10,2024-05-28 23:00,1.0000531474602552,1.0058147460255251,1.0
11,2024-05-29 01:00,1.0000448406802187,1.004984068021879,1.0
12,2024-05-29 02:00,1.0000476096068975,1.005260960689761,1.0
13,2024-05-29 03:00,1.000039388024605,1.0044388024605109,1.0
14,2024-05-29 04:00,1.0000334667813997,1.0038466781399629,1.0
15,2024-05-29 05:00,1.000030144069385,1.0035144069385042,1.0
16,2024-05-29 06:00,1.0000406659907646,1.0045665990764563,1.0
17,2024-05-29 07:00,1.0000364308398215,1.00460493806124,1.0
18,2024-05-29 08:00,1.0000239349841702,1.0039787346431066,1.0
19,2024-05-29 09:00,1.0000155194079154,1.003557005810486,1.0
20,2024-05-29 10:00,0.9999706363345564,1.001307785369843,1.0
21,2024-05-29 11:00,0.9999279634125368,0.9991693219963534,1.0
22,2024-05-29 12:00,0.9999239807632312,0.9992715592891098,1.0
23,2024-05-29 13:00,0.9999272866628144,0.9996038304905686,1.0
24,2024-05-29 14:00,0.9999069290642518,0.9975590846354389,1.0
25,2024-05-29 15:00,0.9998896963482596,0.9958210506585784,1.0
26,2024-05-29 16:00,0.9999236190811784,0.9992545197403172,1.0
27,2024-05-29 17:00,0.9999142948886052,0.9983173445567164,1.0
28,2024-05-29 18:00,0.9998961470439532,0.996489852948694,1.0
29,2024-05-29 19:00,0.9999076107665854,0.9976485422666008,1.0
30,2024-05-29 20:00,0.999915003745804,0.9983940225262834,1.0
31,2024-05-29 21:00,0.999891860475618,0.9960638642288748,1.0
32,2024-05-29 22:00,0.9998853334741336,0.995403581713156,1.0
33,2024-05-29 23:00,0.999890842388089,0.9959616269361188,1.0
34,2024-05-30 01:00,0.999889410957076,0.9958167907713802,1.0
35,2024-05-30 02:00,0.9998925255010124,0.996132022424046,1.0
36,2024-05-30 03:00,0.9998864608554074,0.9955185986675072,1.0
37,2024-05-30 04:00,0.9998744729751232,0.994304530816024,1.0
38,2024-05-30 05:00,0.9998607527519832,0.9929115477022168,1.0
39,2024-05-30 06:00,0.9998757722646372,0.9944408472063658,1.0
40,2024-05-30 07:00,0.999879507581872,0.9948199771670048,1.0
41,2024-05-30 08:00,0.9998363708511452,0.9904450730144666,1.0
42,2024-05-30 09:00,0.9998697523043466,0.9938615025474123,1.0
43,2024-05-30 10:00,0.9998751601160324,0.9944110279959784,1.0
44,2024-05-30 11:00,0.9998783077639836,0.9947305195358426,1.0
45,2024-05-30 12:00,0.9998702024809676,0.9939083613065924,1.0
46,2024-05-30 13:00,0.999901772104099,0.9971160563668272,1.0
47,2024-05-30 14:00,0.9998556712219828,0.9950542709629048,1.0
48,2024-05-30 15:00,0.9999025339970684,0.9974099885835024,1.0
49,2024-05-30 16:00,0.9999641197307956,1.0004984068021878,1.0
50,2024-05-30 17:00,0.9999003383211428,0.998538858691022,1.0
51,2024-05-30 18:00,0.99989791355627,0.9984579208342564,1.0
52,2024-05-30 19:00,0.9999493413068008,1.0001746553751256,1.0
53,2024-05-30 20:00,0.999905392271014,0.9987092541789492,1.0
